,Name,Rating,Followers,Online,Peak,id
"0,Crusader Kings III,91.87%,""178,033"",""11,229"",""98,872"",1158310"
"1,Europa Universalis IV,84.74%,""165,520"",""16,457"",""48,165"",236850"
"2,Dawn of Man,84.96%,""127,454"",747,""23,864"",858810"
"3,Crusader Kings II,88.54%,""113,781"",""3,351"",""141,439"",203770"
"4,Tropico 6,84.92%,""102,866"",889,""15,294"",492720"
"5,Imperator: Rome,56.72%,""96,337"",734,""41,945"",859580"
"6,""Papers, Please"",94.96%,""95,060"",462,""6,129"",239030"
"7,Beholder,88.91%,""83,240"",130,""2,774"",475550"
"8,Workers & Resources: Soviet Republic,88.87%,""81,987"",783,""3,891"",784150"
"9,Age of Wonders: Planetfall,77.82%,""76,367"",467,""10,462"",718850"
"10,Anno 1800,80.13%,""71,818"",230,""25,302"",916440"
"11,This Is the Police,80.74%,""58,291"",44,""3,093"",443810"
"12,Mr. Prepper,80.00%,""57,622"",127,""6,911"",761830"
"13,Age of History II,83.18%,""42,902"",646,""2,206"",603850"
"14,Rebel Inc: Escalation,79.49%,""42,331"",45,""1,034"",1088790"
"15,Victoria 3,-,""40,157"",0,7,529340"
"16,Orwell: Keeping an Eye On You,88.92%,""40,090"",26,""154,375"",491950"
"18,Grand Ages: Medieval,46.63%,""36,888"",14,""4,274"",310470"
"19,Beholder 2,85.29%,""34,071"",41,""1,981"",761620"
"20,""Yes, Your Grace"",82.16%,""33,373"",60,""3,337"",1115690"
"21,Urban Empire,35.51%,""32,962"",6,""5,840"",352550"
"22,BioShock™,92.34%,""29,803"",72,""2,674"",7670"
"23,Democracy 3,73.00%,""28,957"",26,""2,674"",245470"
"24,Not For Broadcast,92.02%,""27,940"",16,326,1147550"
"25,RIOT: Civil Unrest,67.01%,""23,654"",8,776,342310"
"26,NOT A HERO,83.16%,""20,379"",2,224,274270"
"27,Cartel Tycoon,74.91%,""20,363"",86,""1,599"",1220140"
"28,Mr. Prepper: Prologue,81.54%,""17,568"",11,""1,089"",1340530"
"29,Sigma Theory: Global Cold War,73.51%,""17,149"",6,315,716640"
"31,OMON Simulator,71.12%,""15,924"",4,801,1140440"
"32,Last Day of Rome,52.61%,""15,396"",0,314,1015090"
"33,Tropico 4,89.12%,""15,360"",134,""10,892"",57690"
"34,Not Tonight,80.37%,""14,994"",86,486,733790"
"35,Democracy 4,81.45%,""13,967"",79,699,1410710"
"36,The Ship: Remasted,56.56%,""13,367"",6,195,383790"
"37,Metal Wolf Chaos XD,80.05%,""13,061"",0,410,820630"
"38,Long Gone Days,86.61%,""12,436"",4,44,510540"
"39,Evil Democracy: 1932,74.57%,""12,239"",1,42,1219950"
"40,Divinity: Dragon Commander,71.86%,""11,876"",6,""2,311"",243950"
"41,First Strike: Classic,81.56%,""10,901"",2,159,587000"
"43,Suzerain,90.13%,""10,528"",104,""1,090"",1207650"
